Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1101,699,4194.0,6606.0,

Kills:,0
Deaths:,0
Fight Time:,0.0
Avg TTK:,0
Damage Done:,4194.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,4194.0
Scenario:,B180TI Sparky
Hash:,046e6e50c74740252a87ff0ffdcb3991
Game Version:,2.0.5.3
Challenge Start:,03:51:57.973
Pause Count:,10
Pause Duration:,656

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,103.0
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,350.425537
Resolution Scale,100.0
